scenario,collection_id,collection_sequence,experiment_phase,observation_timestamp_utc,target_register,configured_attack_value,source_sent_odo_meter_litre,openplc_odo_meter_litre,openplc_odo_meter_processed,cross_layer_odo_match,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,source_expected_valve_command,controller_operational_impact,nearest_network_write_timestamp_utc,network_to_control_delay_seconds,network_correlation_status,evidence_interpretation
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000010,10,ATTACK,2026-07-28T11:43:08.714Z,1024,100,52,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:08.461Z,0.252137,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000011,11,ATTACK,2026-07-28T11:43:09.716Z,1024,100,52,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:09.657Z,0.058308,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000012,12,ATTACK,2026-07-28T11:43:10.731Z,1024,100,52,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:10.458Z,0.272623,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000013,13,ATTACK,2026-07-28T11:43:11.718Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:11.656Z,0.061472,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000014,14,ATTACK,2026-07-28T11:43:12.711Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:12.458Z,0.252257,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000015,15,ATTACK,2026-07-28T11:43:13.710Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:13.660Z,0.049896,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000016,16,ATTACK,2026-07-28T11:43:14.708Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:14.459Z,0.248534,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000017,17,ATTACK,2026-07-28T11:43:15.731Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:15.660Z,0.070022,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000018,18,ATTACK,2026-07-28T11:43:16.720Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:16.461Z,0.258742,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000019,19,ATTACK,2026-07-28T11:43:17.708Z,1024,100,66,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:17.664Z,0.043021,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
