correlation_id,observation_timestamp_utc,collection_id,collection_sequence,experiment_phase,source_original_value,source_sent_value,network_write_timestamp_utc,network_packet_number,network_transaction_id,network_function_code,network_register_address,network_register_value,control_observed_value,control_total_bottle,network_to_control_delay_seconds,source_match,cross_layer_match,plc_internal_match,correlation_window_seconds,correlation_status,evidence_chain
COR-P1-001,2026-07-18T12:26:26.447000Z,collector-20260718T122600Z-53c3e2f1-COL-000027,27,ATTACK,117,117,2026-07-18T12:26:26.316880Z,365,1,6,1024,1000,1000,1000,0.13012,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-002,2026-07-18T12:26:27.457000Z,collector-20260718T122600Z-53c3e2f1-COL-000028,28,ATTACK,117,117,2026-07-18T12:26:27.117536Z,389,5,6,1024,1000,1000,1000,0.339464,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-003,2026-07-18T12:26:28.447000Z,collector-20260718T122600Z-53c3e2f1-COL-000029,29,ATTACK,117,117,2026-07-18T12:26:28.318713Z,445,11,6,1024,1000,1000,1000,0.128287,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-004,2026-07-18T12:26:30.447000Z,collector-20260718T122600Z-53c3e2f1-COL-000031,31,ATTACK,119,119,2026-07-18T12:26:30.320112Z,526,21,6,1024,1000,1000,1000,0.126888,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-005,2026-07-18T12:26:31.467000Z,collector-20260718T122600Z-53c3e2f1-COL-000032,32,ATTACK,119,119,2026-07-18T12:26:31.121041Z,550,25,6,1024,1000,1000,1000,0.345959,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-006,2026-07-18T12:26:32.456000Z,collector-20260718T122600Z-53c3e2f1-COL-000033,33,ATTACK,120,120,2026-07-18T12:26:32.322507Z,606,31,6,1024,1000,1000,1000,0.133493,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-007,2026-07-18T12:26:33.466000Z,collector-20260718T122600Z-53c3e2f1-COL-000034,34,ATTACK,120,120,2026-07-18T12:26:33.123234Z,630,35,6,1024,1000,1000,1000,0.342766,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-008,2026-07-18T12:26:34.455000Z,collector-20260718T122600Z-53c3e2f1-COL-000035,35,ATTACK,120,120,2026-07-18T12:26:34.324067Z,686,41,6,1024,1000,1000,1000,0.130933,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-009,2026-07-18T12:26:35.456000Z,collector-20260718T122600Z-53c3e2f1-COL-000036,36,ATTACK,120,120,2026-07-18T12:26:35.125348Z,710,45,6,1024,1000,1000,1000,0.330652,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-010,2026-07-18T12:26:36.455000Z,collector-20260718T122600Z-53c3e2f1-COL-000037,37,ATTACK,120,120,2026-07-18T12:26:36.326932Z,766,51,6,1024,1000,1000,1000,0.128068,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
