timestamp_utc,scenario,event_type,layer,description
2026-07-28T10:44:39.367Z,BASELINE,COLLECTION_STARTED,collector,First paired evidence record for BASELINE.
2026-07-28T10:45:15.279Z,BASELINE,COLLECTION_ENDED,collector,Last paired evidence record for BASELINE.
2026-07-28T11:42:59.867Z,PERLAKUAN_1_FDI,COLLECTION_STARTED,collector,First paired evidence record for PERLAKUAN_1_FDI.
2026-07-28T11:42:59.867Z,PERLAKUAN_1_FDI,PHASE_PRE_ATTACK,collector,First paired record classified as phase PRE_ATTACK.
2026-07-28T11:43:05.730Z,PERLAKUAN_1_FDI,PHASE_ATTACK,collector,First paired record classified as phase ATTACK.
2026-07-28T11:43:07.651Z,PERLAKUAN_1_FDI,FIRST_CONFIGURED_MODBUS_WRITE,network,Modbus write to HR1024=100.
2026-07-28T11:43:08.714Z,PERLAKUAN_1_FDI,FIRST_ATTACK_VALUE_OBSERVED,openplc,First cross-layer ODO mismatch with configured attack value; controller entered abnormal-usage path.
2026-07-28T11:43:37.474Z,PERLAKUAN_1_FDI,LAST_CONFIGURED_MODBUS_WRITE,network,Modbus write to HR1024=100.
2026-07-28T11:43:38.716Z,PERLAKUAN_1_FDI,LAST_ATTACK_VALUE_OBSERVED,openplc,Last observed configured attack value at OpenPLC.
2026-07-28T11:43:39.729Z,PERLAKUAN_1_FDI,FIRST_NORMAL_OBSERVATION,cross_layer,First normal cross-layer ODO and valve observation after attack.
2026-07-28T11:43:41.730Z,PERLAKUAN_1_FDI,STABLE_RECOVERY_CONFIRMED,cross_layer,Configured number of consecutive normal records reached.
2026-07-28T11:43:45.744Z,PERLAKUAN_1_FDI,PHASE_RECOVERY,collector,First paired record classified as phase RECOVERY.
2026-07-28T11:43:53.736Z,PERLAKUAN_1_FDI,PHASE_POST_RECOVERY,collector,First paired record classified as phase POST_RECOVERY.
2026-07-28T11:44:08.739Z,PERLAKUAN_1_FDI,COLLECTION_ENDED,collector,Last paired evidence record for PERLAKUAN_1_FDI.
