metric,baseline_value,treatment_value,treatment_minus_baseline,unit
Source encoding integrity - all fields,100.0,100.0,0.0,%
Cross-layer ODO integrity,100.0,86.275,-13.725,%
Cross-layer all-fields integrity,100.0,86.275,-13.725,%
PLC internal ODO consistency,100.0,94.118,-5.882,%
PLC controller logic consistency,100.0,94.118,-5.882,%
Valve output match against legitimate source,100.0,88.235,-11.765,%
Raspberry Pi acquisition availability,100.0,100.0,0.0,%
OpenPLC acquisition availability,100.0,73.913,-26.087,%
Paired collection rate,100.0,100.0,0.0,%
Observed controller impact records,0,6,6.0,records
