metric,baseline_value,treatment_value,treatment_minus_baseline,unit
Source encoding integrity - all fields,100.0,100.0,0.0,%
Cross-layer ODO integrity,100.0,37.705,-62.295,%
Cross-layer all-fields integrity,100.0,26.23,-73.77,%
PLC internal ODO consistency,100.0,100.0,0.0,%
PLC controller logic consistency,100.0,100.0,0.0,%
Valve output match against legitimate source,100.0,100.0,0.0,%
Raspberry Pi acquisition availability,100.0,87.273,-12.727,%
OpenPLC acquisition availability,100.0,55.455,-44.545,%
Paired collection rate,100.0,100.0,0.0,%
Observed controller impact records,0,0,0.0,records
