timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-18T12:23:01.841408Z,1,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,149,6,1024,15,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=29;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,29
2026-07-18T12:23:01.841716Z,2,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,149,6,1024,15,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=30;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,30
2026-07-18T12:23:03.838737Z,3,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,159,6,1024,16,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=104;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,104
2026-07-18T12:23:03.839152Z,4,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,159,6,1024,16,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=105;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,105
2026-07-18T12:23:05.833797Z,5,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,169,6,1024,17,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=147;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,147
2026-07-18T12:23:05.834082Z,6,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,169,6,1024,17,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=148;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,148
2026-07-18T12:23:07.838950Z,7,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,179,6,1024,18,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=197;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,197
2026-07-18T12:23:07.839410Z,8,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,179,6,1024,18,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=198;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,198
2026-07-18T12:23:08.724Z,9,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,BASELINE,,,,,,,,,,,,,,,,,,working/metadata/experiment_event_log.csv,2
2026-07-18T12:23:08.832Z,10,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000001,1,,,,,,,,,,18,18,18,18,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,1
2026-07-18T12:23:09.774Z,11,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000002,2,,,,,,,,,,18,18,18,18,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,2
2026-07-18T12:23:09.832497Z,12,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,189,6,1024,19,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=368;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,368
2026-07-18T12:23:09.832772Z,13,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,189,6,1024,19,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=369;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,369
2026-07-18T12:23:10.784Z,14,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000003,3,,,,,,,,,,19,19,19,19,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,3
2026-07-18T12:23:11.762Z,15,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000004,4,,,,,,,,,,19,19,19,19,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,4
2026-07-18T12:23:11.832356Z,16,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,199,6,1024,20,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=464;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,464
2026-07-18T12:23:11.832647Z,17,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,199,6,1024,20,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=465;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,465
2026-07-18T12:23:12.773Z,18,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000005,5,,,,,,,,,,20,20,20,20,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,5
2026-07-18T12:23:13.783Z,19,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000006,6,,,,,,,,,,20,20,20,20,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,6
2026-07-18T12:23:14.581137Z,20,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.122,192.168.100.93,44025,502,192.168.100.122:44025<->192.168.100.93:502,211,6,1024,21,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=533;direction=REQUEST,working/raw/baseline_wifi_adapter.pcapng,533
2026-07-18T12:23:14.581409Z,21,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,BASELINE,,,192.168.100.93,192.168.100.122,502,44025,192.168.100.122:44025<->192.168.100.93:502,211,6,1024,21,,,,,SUCCESS,pcap=baseline_wifi_adapter.pcapng;packet=534;direction=RESPONSE,working/raw/baseline_wifi_adapter.pcapng,534
2026-07-18T12:23:14.773Z,22,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260718T122308Z-8dba7023-COL-000007,7,,,,,,,,,,21,21,21,21,raspi=SUCCESS;openplc=SUCCESS,source_match=TRUE;cross_layer_match=TRUE;plc_internal_match=TRUE,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,7
