experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000001,1,2026-07-18T12:23:08.724Z,2026-07-18T12:23:08.832Z,108.236,19.0,18,18,18,18,0,8,10,8,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000002,2,2026-07-18T12:23:09.725Z,2026-07-18T12:23:09.774Z,49.279,1.0,18,18,18,18,0,8,10,8,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000003,3,2026-07-18T12:23:10.725Z,2026-07-18T12:23:10.784Z,58.688,2.0,19,19,19,19,0,9,10,9,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000004,4,2026-07-18T12:23:11.725Z,2026-07-18T12:23:11.762Z,36.976,0.0,19,19,19,19,0,9,10,9,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000005,5,2026-07-18T12:23:12.726Z,2026-07-18T12:23:12.773Z,47.231,1.0,20,20,20,20,2,10,20,0,FALSE,FALSE,TRUE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000006,6,2026-07-18T12:23:13.726Z,2026-07-18T12:23:13.783Z,57.213,0.0,20,20,20,20,2,10,20,0,FALSE,FALSE,TRUE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000007,7,2026-07-18T12:23:14.726Z,2026-07-18T12:23:14.773Z,46.391,2.0,21,21,21,21,0,1,20,1,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000008,8,2026-07-18T12:23:15.727Z,2026-07-18T12:23:15.763Z,36.034,2.0,21,21,21,21,0,1,20,1,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000009,9,2026-07-18T12:23:16.728Z,2026-07-18T12:23:16.773Z,44.807,1.0,22,22,22,22,0,2,20,2,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000010,10,2026-07-18T12:23:17.728Z,2026-07-18T12:23:17.782Z,53.857,1.0,22,22,22,22,0,2,20,2,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000011,11,2026-07-18T12:23:18.729Z,2026-07-18T12:23:18.782Z,52.56,0.0,23,23,23,23,0,3,20,3,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000012,12,2026-07-18T12:23:19.730Z,2026-07-18T12:23:19.782Z,52.427,1.0,23,23,23,23,0,3,20,3,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000013,13,2026-07-18T12:23:20.730Z,2026-07-18T12:23:20.781Z,51.077,1.0,24,24,24,24,0,4,20,4,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000014,14,2026-07-18T12:23:21.731Z,2026-07-18T12:23:21.791Z,60.197,1.0,24,24,24,24,0,4,20,4,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000015,15,2026-07-18T12:23:22.731Z,2026-07-18T12:23:22.784Z,53.046,0.0,25,25,25,25,0,5,20,5,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000016,16,2026-07-18T12:23:23.732Z,2026-07-18T12:23:23.765Z,32.965,1.0,25,25,25,25,0,5,20,5,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000017,17,2026-07-18T12:23:24.733Z,2026-07-18T12:23:24.780Z,47.159,1.0,26,26,26,26,0,6,20,6,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000018,18,2026-07-18T12:23:25.733Z,2026-07-18T12:23:25.800Z,66.946,1.0,26,26,26,26,0,6,20,6,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000019,19,2026-07-18T12:23:26.733Z,2026-07-18T12:23:26.783Z,50.053,1.0,27,27,27,27,0,7,20,7,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
