timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T10:44:39.232Z,1,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,BASELINE,,,,,,,,,,,,,,,,,,working/metadata/experiment_event_log.csv,2
2026-07-28T10:44:39.367Z,2,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000001,1,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,1
2026-07-28T10:44:39.829171Z,3,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,2,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=59;direction=REQUEST,working/raw/baseline.pcapng,59
2026-07-28T10:44:39.829740Z,4,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,2,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=60;direction=RESPONSE,working/raw/baseline.pcapng,60
2026-07-28T10:44:40.290Z,5,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000002,2,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,2
2026-07-28T10:44:41.272Z,6,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000003,3,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,3
2026-07-28T10:44:42.265Z,7,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000004,4,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,4
2026-07-28T10:44:43.273Z,8,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000005,5,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,5
2026-07-28T10:44:44.284Z,9,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000006,6,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,6
2026-07-28T10:44:45.293Z,10,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000007,7,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,7
