experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000001,1,2026-07-28T10:44:39.232Z,2026-07-28T10:44:39.367Z,134.724,59.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000002,2,2026-07-28T10:44:40.233Z,2026-07-28T10:44:40.290Z,57.323,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000003,3,2026-07-28T10:44:41.233Z,2026-07-28T10:44:41.272Z,39.168,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000004,4,2026-07-28T10:44:42.234Z,2026-07-28T10:44:42.265Z,31.944,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000005,5,2026-07-28T10:44:43.234Z,2026-07-28T10:44:43.273Z,38.982,10.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000006,6,2026-07-28T10:44:44.234Z,2026-07-28T10:44:44.284Z,49.594,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000007,7,2026-07-28T10:44:45.234Z,2026-07-28T10:44:45.293Z,58.586,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000008,8,2026-07-28T10:44:46.235Z,2026-07-28T10:44:46.275Z,40.005,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000009,9,2026-07-28T10:44:47.235Z,2026-07-28T10:44:47.278Z,43.121,4.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000010,10,2026-07-28T10:44:48.236Z,2026-07-28T10:44:48.281Z,45.927,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
