experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000001,1,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:39.232Z,2026-07-28T10:44:39.367Z,134.724,59.0,2026-07-28T10:44:39.308Z,2026-07-28T10:44:39.367Z,58.759,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,12,378,0.378,22,0.0022,1,1,0,1,12,1,0,TRUE,FALSE,FALSE,"[12,378,22,1,1,0,1,12,1,0]","[12,378,22,1,1,0,1,12,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000002,2,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:40.233Z,2026-07-28T10:44:40.290Z,57.323,8.0,2026-07-28T10:44:40.282Z,2026-07-28T10:44:40.290Z,7.85,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000003,3,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:41.233Z,2026-07-28T10:44:41.272Z,39.168,7.0,2026-07-28T10:44:41.265Z,2026-07-28T10:44:41.272Z,7.607,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000004,4,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:42.234Z,2026-07-28T10:44:42.265Z,31.944,6.0,2026-07-28T10:44:42.259Z,2026-07-28T10:44:42.265Z,6.69,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000005,5,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:43.234Z,2026-07-28T10:44:43.273Z,38.982,10.0,2026-07-28T10:44:43.263Z,2026-07-28T10:44:43.273Z,9.915,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000006,6,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:44.234Z,2026-07-28T10:44:44.284Z,49.594,8.0,2026-07-28T10:44:44.276Z,2026-07-28T10:44:44.284Z,7.789,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000007,7,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:45.234Z,2026-07-28T10:44:45.293Z,58.586,9.0,2026-07-28T10:44:45.284Z,2026-07-28T10:44:45.293Z,9.207,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000008,8,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:46.235Z,2026-07-28T10:44:46.275Z,40.005,6.0,2026-07-28T10:44:46.269Z,2026-07-28T10:44:46.275Z,6.093,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000009,9,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:47.235Z,2026-07-28T10:44:47.278Z,43.121,4.0,2026-07-28T10:44:47.274Z,2026-07-28T10:44:47.278Z,4.462,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,2,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,2,0,1,18,1,0]","[18,492,28,1,2,0,1,18,1,0]","[true,false,false]"
EXP-20260728T104439Z-3e25d72e,BASELINE,BASELINE,command_line,collector-20260728T104439Z-e2668ad8,collector-20260728T104439Z-e2668ad8-COL-000010,10,Youma-PC,2026-07-28T10:44:39.008Z,2026-07-28T10:44:48.236Z,2026-07-28T10:44:48.281Z,45.927,7.0,2026-07-28T10:44:48.274Z,2026-07-28T10:44:48.281Z,7.669,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,3,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,3,0,1,27,1,0]","[27,520,33,1,3,0,1,27,1,0]","[true,false,false]"
