pcap_file,packet_number,adu_index,timestamp_utc,timestamp_epoch,interface_id,interface_name,interface_description,link_type,source_ip,destination_ip,source_port,destination_port,tcp_sequence,tcp_acknowledgment,tcp_flags,tcp_stream_key,direction,transaction_id,protocol_id,mbap_length,unit_id,function_code,function_name,is_exception,exception_code,register_address,quantity,register_value,register_values,coil_value,byte_count,pdu_hex,parse_status,parse_note
fdi_loopback_adapter.pcapng,365,0,2026-07-18T12:26:26.316880Z,1784377586.31688,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,51749,502,1234588528,805339757,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,REQUEST,1,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,367,0,2026-07-18T12:26:26.338886Z,1784377586.3388855,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,502,51749,805339757,1234588540,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,RESPONSE,1,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,381,0,2026-07-18T12:26:26.717084Z,1784377586.717084,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,51749,502,1234588552,805339780,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,REQUEST,3,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,383,0,2026-07-18T12:26:26.717219Z,1784377586.7172189,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,502,51749,805339780,1234588564,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,RESPONSE,3,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,389,0,2026-07-18T12:26:27.117536Z,1784377587.117536,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,51749,502,1234588576,805339803,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,REQUEST,5,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,391,0,2026-07-18T12:26:27.117729Z,1784377587.1177292,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,502,51749,805339803,1234588588,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,RESPONSE,5,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,405,0,2026-07-18T12:26:27.517811Z,1784377587.5178106,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,51749,502,1234588600,805339826,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,REQUEST,7,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,407,0,2026-07-18T12:26:27.517938Z,1784377587.5179377,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,502,51749,805339826,1234588612,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,RESPONSE,7,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,413,0,2026-07-18T12:26:27.918383Z,1784377587.918383,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,51749,502,1234588624,805339849,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,REQUEST,9,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
fdi_loopback_adapter.pcapng,415,0,2026-07-18T12:26:27.918517Z,1784377587.918517,0,\Device\NPF_Loopback,Adapter for loopback traffic capture,0,192.168.100.93,192.168.100.93,502,51749,805339849,1234588636,ACK|PSH,192.168.100.93:502<->192.168.100.93:51749,RESPONSE,9,0,6,0,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1000,,,,06040003e8,SUCCESS,
