experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000001,1,2026-07-18T12:26:00.385Z,2026-07-18T12:26:00.597Z,212.382,91.0,104,104,104,104,0,4,100,4,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000002,2,2026-07-18T12:26:01.385Z,2026-07-18T12:26:01.443Z,57.798,1.0,104,104,104,104,0,4,100,4,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000003,3,2026-07-18T12:26:02.386Z,2026-07-18T12:26:02.433Z,47.043,1.0,105,105,105,105,0,5,100,5,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000004,4,2026-07-18T12:26:03.386Z,2026-07-18T12:26:03.433Z,46.825,1.0,105,105,105,105,0,5,100,5,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000005,5,2026-07-18T12:26:04.387Z,2026-07-18T12:26:04.452Z,65.71,0.0,106,106,106,106,0,6,100,6,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000006,6,2026-07-18T12:26:05.387Z,2026-07-18T12:26:05.442Z,55.023,1.0,106,106,106,106,0,6,100,6,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000007,7,2026-07-18T12:26:06.387Z,2026-07-18T12:26:06.426Z,38.632,1.0,107,107,107,107,0,7,100,7,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000008,8,2026-07-18T12:26:07.388Z,2026-07-18T12:26:07.433Z,45.318,1.0,107,107,107,107,0,7,100,7,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000009,9,2026-07-18T12:26:08.388Z,2026-07-18T12:26:08.432Z,44.099,1.0,108,108,108,108,0,8,100,8,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000010,10,2026-07-18T12:26:09.388Z,2026-07-18T12:26:09.451Z,62.598,1.0,108,108,108,108,0,8,100,8,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000011,11,2026-07-18T12:26:10.389Z,2026-07-18T12:26:10.431Z,41.979,1.0,109,109,109,109,0,9,100,9,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000012,12,2026-07-18T12:26:11.389Z,2026-07-18T12:26:11.431Z,42.034,1.0,109,109,109,109,0,9,100,9,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000013,13,2026-07-18T12:26:12.390Z,2026-07-18T12:26:12.430Z,40.705,0.0,110,110,110,110,2,10,110,0,FALSE,FALSE,TRUE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000014,14,2026-07-18T12:26:13.390Z,2026-07-18T12:26:13.425Z,35.042,2.0,110,110,110,110,2,10,110,0,FALSE,FALSE,TRUE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000015,15,2026-07-18T12:26:14.390Z,2026-07-18T12:26:14.424Z,33.866,1.0,110,110,110,110,2,10,110,0,FALSE,FALSE,TRUE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000016,16,2026-07-18T12:26:15.391Z,2026-07-18T12:26:15.440Z,49.159,1.0,111,111,111,111,0,1,110,1,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000017,17,2026-07-18T12:26:16.391Z,2026-07-18T12:26:16.440Z,48.688,1.0,112,112,112,112,0,2,110,2,FALSE,TRUE,FALSE,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TRUE,TRUE,TRUE,TRUE,TRUE,PAIRED
