experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000001,1,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:27.031Z,2026-07-28T11:39:27.157Z,126.348,44.0,2026-07-28T11:39:27.113Z,2026-07-28T11:39:27.157Z,43.474,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000002,2,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:28.032Z,2026-07-28T11:39:28.062Z,30.697,5.0,2026-07-28T11:39:28.057Z,2026-07-28T11:39:28.062Z,5.354,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000003,3,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:29.032Z,2026-07-28T11:39:29.068Z,36.401,7.0,2026-07-28T11:39:29.061Z,2026-07-28T11:39:29.068Z,6.991,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000004,4,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:30.032Z,2026-07-28T11:39:30.071Z,38.242,6.0,2026-07-28T11:39:30.065Z,2026-07-28T11:39:30.071Z,5.062,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000005,5,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:31.033Z,2026-07-28T11:39:31.070Z,37.153,5.0,2026-07-28T11:39:31.065Z,2026-07-28T11:39:31.070Z,4.945,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000006,6,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:32.033Z,2026-07-28T11:39:32.083Z,49.605,6.0,2026-07-28T11:39:32.077Z,2026-07-28T11:39:32.083Z,5.645,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000007,7,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:33.034Z,2026-07-28T11:39:33.069Z,35.427,5.0,2026-07-28T11:39:33.064Z,2026-07-28T11:39:33.069Z,5.433,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,66,13,0.013,40,0.004,1,470,0,1,66,1,0,TRUE,FALSE,FALSE,"[66,13,40,1,470,0,1,66,1,0]","[66,13,40,1,470,0,1,66,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000008,8,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:34.034Z,2026-07-28T11:39:34.305Z,270.56,227.0,2026-07-28T11:39:34.078Z,2026-07-28T11:39:34.305Z,226.7,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,12,0.012,40,0.004,1,471,0,1,79,1,0,TRUE,FALSE,FALSE,"[79,12,40,1,471,0,1,79,1,0]","[79,12,40,1,471,0,1,79,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000009,9,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:35.035Z,2026-07-28T11:39:35.072Z,37.399,6.0,2026-07-28T11:39:35.066Z,2026-07-28T11:39:35.072Z,5.815,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,12,0.012,40,0.004,1,471,0,1,79,1,0,TRUE,FALSE,FALSE,"[79,12,40,1,471,0,1,79,1,0]","[79,12,40,1,471,0,1,79,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113926Z-d5edebfc,collector-20260728T113926Z-d5edebfc-COL-000010,10,Youma-PC,2026-07-28T11:39:26.783Z,2026-07-28T11:39:36.035Z,2026-07-28T11:39:36.084Z,49.341,23.0,2026-07-28T11:39:36.061Z,2026-07-28T11:39:36.084Z,22.678,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,12,0.012,40,0.004,1,471,0,1,79,1,0,TRUE,FALSE,FALSE,"[79,12,40,1,471,0,1,79,1,0]","[79,12,40,1,471,0,1,79,1,0]","[true,false,false]"
