experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000001,1,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:39:56.475Z,2026-07-28T11:39:56.642Z,166.081,97.0,2026-07-28T11:39:56.544Z,2026-07-28T11:39:56.641Z,97.2,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000002,2,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:39:57.476Z,2026-07-28T11:39:57.512Z,36.615,6.0,2026-07-28T11:39:57.507Z,2026-07-28T11:39:57.512Z,5.623,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000003,3,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:39:58.476Z,2026-07-28T11:39:58.517Z,40.51,7.0,2026-07-28T11:39:58.510Z,2026-07-28T11:39:58.517Z,6.656,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000004,4,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:39:59.477Z,2026-07-28T11:39:59.505Z,28.299,5.0,2026-07-28T11:39:59.500Z,2026-07-28T11:39:59.505Z,4.613,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000005,5,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:00.477Z,2026-07-28T11:40:00.517Z,39.984,6.0,2026-07-28T11:40:00.512Z,2026-07-28T11:40:00.517Z,5.709,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000006,6,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:01.477Z,2026-07-28T11:40:01.507Z,29.807,6.0,2026-07-28T11:40:01.502Z,2026-07-28T11:40:01.507Z,5.655,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,474,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,474,0,1,18,1,0]","[18,492,28,1,474,0,1,18,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000007,7,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:02.478Z,2026-07-28T11:40:02.526Z,47.854,8.0,2026-07-28T11:40:02.519Z,2026-07-28T11:40:02.526Z,7.226,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,475,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,475,0,1,27,1,0]","[27,520,33,1,475,0,1,27,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000008,8,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:03.478Z,2026-07-28T11:40:03.517Z,38.782,9.0,2026-07-28T11:40:03.508Z,2026-07-28T11:40:03.517Z,8.727,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,475,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,475,0,1,27,1,0]","[27,520,33,1,475,0,1,27,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000009,9,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:04.479Z,2026-07-28T11:40:04.509Z,30.559,6.0,2026-07-28T11:40:04.504Z,2026-07-28T11:40:04.509Z,5.53,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,475,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,475,0,1,27,1,0]","[27,520,33,1,475,0,1,27,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T113956Z-45ba43ef,collector-20260728T113956Z-45ba43ef-COL-000010,10,Youma-PC,2026-07-28T11:39:56.318Z,2026-07-28T11:40:05.479Z,2026-07-28T11:40:05.524Z,45.605,8.0,2026-07-28T11:40:05.516Z,2026-07-28T11:40:05.524Z,7.921,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,475,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,475,0,1,27,1,0]","[27,520,33,1,475,0,1,27,1,0]","[true,false,false]"
