experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000001,1,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:31.525Z,2026-07-28T11:41:31.672Z,147.049,63.0,2026-07-28T11:41:31.610Z,2026-07-28T11:41:31.672Z,61.96,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,12,0.012,40,0.004,1,487,0,1,79,1,0,TRUE,FALSE,FALSE,"[79,12,40,1,487,0,1,79,1,0]","[79,12,40,1,487,0,1,79,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000002,2,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:32.525Z,2026-07-28T11:41:32.927Z,401.991,363.0,2026-07-28T11:41:32.565Z,2026-07-28T11:41:32.927Z,362.144,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,79,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,79,1,0]","[88,2,40,1,488,0,1,79,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000003,3,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:33.525Z,2026-07-28T11:41:33.571Z,45.578,7.0,2026-07-28T11:41:33.564Z,2026-07-28T11:41:33.571Z,6.709,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000004,4,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:34.526Z,2026-07-28T11:41:34.572Z,45.805,7.0,2026-07-28T11:41:34.565Z,2026-07-28T11:41:34.572Z,6.524,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000005,5,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:35.526Z,2026-07-28T11:41:35.576Z,49.708,9.0,2026-07-28T11:41:35.568Z,2026-07-28T11:41:35.576Z,8.467,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000006,6,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:36.527Z,2026-07-28T11:41:36.563Z,36.518,5.0,2026-07-28T11:41:36.558Z,2026-07-28T11:41:36.563Z,4.863,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000007,7,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:37.527Z,2026-07-28T11:41:37.559Z,32.147,6.0,2026-07-28T11:41:37.553Z,2026-07-28T11:41:37.559Z,5.774,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000008,8,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:38.527Z,2026-07-28T11:41:38.587Z,60.266,5.0,2026-07-28T11:41:38.582Z,2026-07-28T11:41:38.587Z,5.562,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000009,9,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:39.528Z,2026-07-28T11:41:39.563Z,35.632,11.0,2026-07-28T11:41:39.552Z,2026-07-28T11:41:39.563Z,10.951,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,88,2,0.002,40,0.004,1,488,0,1,88,1,0,TRUE,FALSE,FALSE,"[88,2,40,1,488,0,1,88,1,0]","[88,2,40,1,488,0,1,88,1,0]","[true,false,false]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000010,10,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:40.528Z,2026-07-28T11:41:40.574Z,46.155,7.0,2026-07-28T11:41:40.567Z,2026-07-28T11:41:40.574Z,7.183,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,12,378,0.378,22,0.0022,1,489,0,1,12,1,0,TRUE,FALSE,FALSE,"[12,378,22,1,489,0,1,12,1,0]","[12,378,22,1,489,0,1,12,1,0]","[true,false,false]"
