experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,raspi_read_started_at,raspi_read_finished_at,raspi_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,http_status_code,error_type,error_message,raw_state_sha256,raw_state_size_bytes,source_updated_at,source_updated_at_epoch_ms,source_age_ms,state_schema_version,sender_session_id,sender_started_at,sender_pid,state_sequence,event_type,sender_state,source_mode,thingsboard_raw,thingsboard_timestamp_ms,raspi_received_at,node_id,node_timestamp,ntp_timestamp,original_odo_meter_litre,sent_odo_meter_litre,original_flow_rate_lpm,sent_flow_rate_x1000,original_volume_litre,sent_volume_x10000,observed_valve_raw,observed_valve_open,original_payment_status,sent_payment_status,source_sequence,abnormal_odo_threshold_litre,expected_abnormal_usage,expected_payment_block,expected_valve_command_open,send_status,sender_error_message,protocol,target_device,target_ip,target_port,target_unit_id,tb_valve_open_value,state_file,register_mapping
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000001,1,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:31.525Z,2026-07-28T11:41:31.672Z,147.049,63.0,2026-07-28T11:41:31.539Z,2026-07-28T11:41:31.609Z,70.4,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,62c4e48c99478be9114e5d23f9b57dd7ab39ac40556769920e38bb0c83d2c68a,1784,2026-07-28T11:41:24.963Z,1785238884963,6646.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,488,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0123,""Volume"":0.00403,""Valve"":0,""Node TimeStamp"":""00:07:12"",""NTP TS"":""23:21:21"",""ODO Meter"":79,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:22.955Z"",""ts"":1785238882955}",1785238882955,2026-07-28T11:41:24.962Z,1,00:07:12,23:21:21,79,79,0.0123,12,0.00403,40,0,TRUE,1,1,487,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000002,2,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:32.525Z,2026-07-28T11:41:32.927Z,401.991,363.0,2026-07-28T11:41:32.525Z,2026-07-28T11:41:32.564Z,39.006,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,62c4e48c99478be9114e5d23f9b57dd7ab39ac40556769920e38bb0c83d2c68a,1784,2026-07-28T11:41:24.963Z,1785238884963,7601.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,488,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0123,""Volume"":0.00403,""Valve"":0,""Node TimeStamp"":""00:07:12"",""NTP TS"":""23:21:21"",""ODO Meter"":79,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:22.955Z"",""ts"":1785238882955}",1785238882955,2026-07-28T11:41:24.962Z,1,00:07:12,23:21:21,79,79,0.0123,12,0.00403,40,0,TRUE,1,1,487,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000003,3,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:33.525Z,2026-07-28T11:41:33.571Z,45.578,7.0,2026-07-28T11:41:33.526Z,2026-07-28T11:41:33.564Z,38.183,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,1368.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000004,4,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:34.526Z,2026-07-28T11:41:34.572Z,45.805,7.0,2026-07-28T11:41:34.527Z,2026-07-28T11:41:34.565Z,38.367,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,2369.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000005,5,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:35.526Z,2026-07-28T11:41:35.576Z,49.708,9.0,2026-07-28T11:41:35.527Z,2026-07-28T11:41:35.567Z,40.539,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,3371.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000006,6,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:36.527Z,2026-07-28T11:41:36.563Z,36.518,5.0,2026-07-28T11:41:36.527Z,2026-07-28T11:41:36.558Z,31.047,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,4362.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000007,7,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:37.527Z,2026-07-28T11:41:37.559Z,32.147,6.0,2026-07-28T11:41:37.527Z,2026-07-28T11:41:37.553Z,25.818,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,5357.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000008,8,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:38.527Z,2026-07-28T11:41:38.587Z,60.266,5.0,2026-07-28T11:41:38.549Z,2026-07-28T11:41:38.582Z,32.681,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,6386.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000009,9,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:39.528Z,2026-07-28T11:41:39.563Z,35.632,11.0,2026-07-28T11:41:39.528Z,2026-07-28T11:41:39.552Z,23.94,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,ce473121f7f57f65380a12bf7254cf4aed3f4f3affbdf0c111e687e5dcffa9ee,1783,2026-07-28T11:41:32.196Z,1785238892196,7356.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,489,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.0021,""Volume"":0.00404,""Valve"":0,""Node TimeStamp"":""00:07:17"",""NTP TS"":""23:21:26"",""ODO Meter"":88,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:29.966Z"",""ts"":1785238889967}",1785238889967,2026-07-28T11:41:32.195Z,1,00:07:17,23:21:26,88,88,0.0021,2,0.00404,40,0,TRUE,1,1,488,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T114131Z-e892fc19,collector-20260728T114131Z-e892fc19-COL-000010,10,Youma-PC,2026-07-28T11:41:31.313Z,2026-07-28T11:41:40.528Z,2026-07-28T11:41:40.574Z,46.155,7.0,2026-07-28T11:41:40.528Z,2026-07-28T11:41:40.567Z,38.309,raspberry_pi_bridge,raspberry_pi,http://192.168.21.217:5020/state,http_get_json_read_only,SUCCESS,200,,,25d26dc8dfd38f3cfd297fa0d6e5c7e458e85b2f7db99cb6b64c00f55e92c0bf,1785,2026-07-28T11:41:39.207Z,1785238899207,1360.0,pamsimas-thingsboard-v2,sender-20260728T104430Z-eaa6ee3d,2026-07-28T10:44:30.487Z,4089,490,THINGSBOARD_TELEMETRY_FORWARDED,RUNNING,THINGSBOARD_HARDCODED_MOCK,"{""Node ID"":1,""Flow Rate(L/min)"":0.3778,""Volume"":0.00222,""Valve"":0,""Node TimeStamp"":""00:06:42"",""NTP TS"":""23:20:51"",""ODO Meter"":12,""Payment Status"":1,""Timestamp"":""2026-07-28T11:41:37.199Z"",""ts"":1785238897199}",1785238897199,2026-07-28T11:41:39.207Z,1,00:06:42,23:20:51,12,12,0.3778,378,0.00222,22,0,TRUE,1,1,489,100,FALSE,FALSE,TRUE,SUCCESS,,Modbus/TCP,OpenPLC,192.168.21.209,502,1,0,,"{""odo_meter_litre"":1024,""flow_rate_x1000"":1025,""volume_x10000"":1026,""payment_status"":1027,""source_sequence"":1028,""observed_valve_raw"":1029,""node_id"":1030}"
