timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T11:42:59.679Z,1,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,PRE_ATTACK,,,,,,,,,,,,,,,,,P1 pre-attack observation,working/metadata/experiment_event_log.csv,2
2026-07-28T11:42:59.867Z,2,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000001,1,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,1
2026-07-28T11:43:00.701Z,3,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000002,2,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,2
2026-07-28T11:43:01.922Z,4,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000003,3,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,3
2026-07-28T11:43:02.700Z,5,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000004,4,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,4
2026-07-28T11:43:03.378461Z,6,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,501,16,1024,,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=196;direction=REQUEST,working/raw/perlakuan1.pcapng,196
2026-07-28T11:43:03.378694Z,7,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,501,16,1024,,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=197;direction=RESPONSE,working/raw/perlakuan1.pcapng,197
2026-07-28T11:43:03.743Z,8,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000005,5,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,5
2026-07-28T11:43:04.705Z,9,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T114259Z-42bbddba-COL-000006,6,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,6
2026-07-28T11:43:05.682Z,10,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,ATTACK,,,,,,,,,,,,,,,,,Unauthorized FC06 HR1024=1000,working/metadata/experiment_event_log.csv,3
2026-07-28T11:43:05.730Z,11,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000007,7,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,7
