pcap_file,packet_number,adu_index,timestamp_utc,timestamp_epoch,interface_id,interface_name,interface_description,link_type,source_ip,destination_ip,source_port,destination_port,tcp_sequence,tcp_acknowledgment,tcp_flags,tcp_stream_key,direction,transaction_id,protocol_id,mbap_length,unit_id,function_code,function_name,is_exception,exception_code,register_address,quantity,register_value,register_values,coil_value,byte_count,pdu_hex,parse_status,parse_note
perlakuan1.pcapng,3,0,2026-07-28T11:42:59.150118Z,1785238979.1501176,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785493,2001125464,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,1,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,4,0,2026-07-28T11:42:59.153005Z,1785238979.1530051,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125464,431785522,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,2,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,5,0,2026-07-28T11:42:59.153175Z,1785238979.1531754,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785522,2001125476,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,2,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,26,0,2026-07-28T11:42:59.983620Z,1785238979.9836204,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125476,431785532,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,3,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,27,0,2026-07-28T11:42:59.983849Z,1785238979.9838486,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785532,2001125488,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,3,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,28,0,2026-07-28T11:42:59.986326Z,1785238979.9863265,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125488,431785561,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,4,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,29,0,2026-07-28T11:42:59.986528Z,1785238979.9865284,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785561,2001125500,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,4,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,64,0,2026-07-28T11:43:01.203283Z,1785238981.2032828,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125500,431785571,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,5,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,68,0,2026-07-28T11:43:01.203285Z,1785238981.2032852,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125500,431785571,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,5,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,70,0,2026-07-28T11:43:01.203460Z,1785238981.2034597,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785571,2001125512,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,5,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,72,0,2026-07-28T11:43:01.207542Z,1785238981.2075417,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125512,431785600,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,6,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,73,0,2026-07-28T11:43:01.207663Z,1785238981.207663,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785600,2001125524,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,6,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,103,0,2026-07-28T11:43:01.983679Z,1785238981.9836786,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125524,431785610,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,7,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,104,0,2026-07-28T11:43:01.983912Z,1785238981.9839118,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785610,2001125536,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,7,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,105,0,2026-07-28T11:43:01.985735Z,1785238981.9857347,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125536,431785639,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,8,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,106,0,2026-07-28T11:43:01.985928Z,1785238981.9859283,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785639,2001125548,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,8,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
