experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000001,1,2026-07-28T11:42:59.669Z,2026-07-28T11:42:59.867Z,198.555,104.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000002,2,2026-07-28T11:43:00.669Z,2026-07-28T11:43:00.701Z,31.524,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000003,3,2026-07-28T11:43:01.670Z,2026-07-28T11:43:01.922Z,252.142,226.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000004,4,2026-07-28T11:43:02.671Z,2026-07-28T11:43:02.700Z,29.161,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000005,5,2026-07-28T11:43:03.671Z,2026-07-28T11:43:03.743Z,71.789,33.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000006,6,2026-07-28T11:43:04.672Z,2026-07-28T11:43:04.705Z,33.463,11.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000007,7,2026-07-28T11:43:05.672Z,2026-07-28T11:43:05.730Z,58.314,4.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000008,8,2026-07-28T11:43:06.672Z,2026-07-28T11:43:06.721Z,48.953,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000009,9,2026-07-28T11:43:07.673Z,2026-07-28T11:43:07.711Z,38.366,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000010,10,2026-07-28T11:43:08.673Z,2026-07-28T11:43:08.714Z,40.45,9.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000011,11,2026-07-28T11:43:09.673Z,2026-07-28T11:43:09.716Z,42.295,9.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000012,12,2026-07-28T11:43:10.674Z,2026-07-28T11:43:10.731Z,57.763,16.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000013,13,2026-07-28T11:43:11.674Z,2026-07-28T11:43:11.718Z,43.864,13.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000014,14,2026-07-28T11:43:12.675Z,2026-07-28T11:43:12.711Z,36.91,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000015,15,2026-07-28T11:43:13.675Z,2026-07-28T11:43:13.710Z,34.865,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000016,16,2026-07-28T11:43:14.675Z,2026-07-28T11:43:14.708Z,32.796,12.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000017,17,2026-07-28T11:43:15.675Z,2026-07-28T11:43:15.731Z,55.275,12.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000018,18,2026-07-28T11:43:16.675Z,2026-07-28T11:43:16.720Z,44.541,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000019,19,2026-07-28T11:43:17.676Z,2026-07-28T11:43:17.708Z,31.865,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000020,20,2026-07-28T11:43:18.677Z,2026-07-28T11:43:18.710Z,33.141,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000021,21,2026-07-28T11:43:19.677Z,2026-07-28T11:43:19.986Z,308.912,285.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000022,22,2026-07-28T11:43:20.677Z,2026-07-28T11:43:20.726Z,48.728,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000023,23,2026-07-28T11:43:21.677Z,2026-07-28T11:43:21.706Z,28.667,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000024,24,2026-07-28T11:43:22.678Z,2026-07-28T11:43:22.716Z,38.147,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
