timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T11:51:12.500Z,1,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,PRE_ATTACK,,,,,,,,,,,,,,,,,P2 pre-attack observation,working/metadata/experiment_event_log.csv,2
2026-07-28T11:51:12.628Z,2,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000001,1,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,1
2026-07-28T11:51:13.498Z,3,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000002,2,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,2
2026-07-28T11:51:14.517Z,4,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000003,3,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,3
2026-07-28T11:51:15.499Z,5,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000004,4,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,4
2026-07-28T11:51:17.027Z,6,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000005,5,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,5
2026-07-28T11:51:17.515Z,7,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000006,6,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,6
2026-07-28T11:51:18.500Z,8,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000007,7,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,7
2026-07-28T11:51:19.523Z,9,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000008,8,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,8
2026-07-28T11:51:20.507Z,10,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000009,9,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,9
2026-07-28T11:51:21.513Z,11,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000010,10,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,10
2026-07-28T11:51:22.514Z,12,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000011,11,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,11
2026-07-28T11:51:23.500Z,13,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000012,12,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,12
2026-07-28T11:51:24.515Z,14,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000013,13,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,13
2026-07-28T11:51:25.518Z,15,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000014,14,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,14
2026-07-28T11:51:26.514Z,16,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000015,15,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,15
2026-07-28T11:51:27.511Z,17,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000016,16,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,16
2026-07-28T11:51:28.515Z,18,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000017,17,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,17
2026-07-28T11:51:28.747099Z,19,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,573,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=82;direction=REQUEST,working/raw/perlakuan2.pcapng,82
2026-07-28T11:51:28.747285Z,20,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,573,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=83;direction=RESPONSE,working/raw/perlakuan2.pcapng,83
2026-07-28T11:51:29.528Z,21,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000018,18,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,18
2026-07-28T11:51:30.518Z,22,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000019,19,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,19
2026-07-28T11:51:31.514Z,23,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000020,20,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,20
2026-07-28T11:51:32.519Z,24,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000021,21,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,21
2026-07-28T11:51:33.521Z,25,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000022,22,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,22
2026-07-28T11:51:34.519Z,26,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000023,23,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,23
2026-07-28T11:51:35.512Z,27,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000024,24,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,24
2026-07-28T11:51:35.763379Z,28,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,574,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=224;direction=REQUEST,working/raw/perlakuan2.pcapng,224
2026-07-28T11:51:35.763491Z,29,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,574,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=225;direction=RESPONSE,working/raw/perlakuan2.pcapng,225
2026-07-28T11:51:36.522Z,30,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000025,25,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,25
2026-07-28T11:51:37.507Z,31,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000026,26,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,26
2026-07-28T11:51:38.525Z,32,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000027,27,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,27
2026-07-28T11:51:39.511Z,33,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000028,28,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,28
2026-07-28T11:51:40.510Z,34,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000029,29,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,29
2026-07-28T11:51:41.505Z,35,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000030,30,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,30
2026-07-28T11:51:42.519Z,36,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000031,31,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,31
2026-07-28T11:51:42.781484Z,37,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,575,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=450;direction=REQUEST,working/raw/perlakuan2.pcapng,450
2026-07-28T11:51:42.781692Z,38,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,PRE_ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,575,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=451;direction=RESPONSE,working/raw/perlakuan2.pcapng,451
2026-07-28T11:51:43.515Z,39,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000032,32,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,32
2026-07-28T11:51:44.520Z,40,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000033,33,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,33
2026-07-28T11:51:45.523Z,41,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000034,34,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,34
2026-07-28T11:51:46.511Z,42,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000035,35,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,35
2026-07-28T11:51:47.528Z,43,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000036,36,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,36
2026-07-28T11:51:48.519Z,44,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98-COL-000037,37,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,37
2026-07-28T11:51:49.508Z,45,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,ATTACK,,,,,,,,,,,,,,,,,FLOOD AND RST TCP,working/metadata/experiment_event_log.csv,3
2026-07-28T11:51:49.554Z,46,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T115112Z-dc91fc98-COL-000038,38,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,38
2026-07-28T11:51:49.791515Z,47,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,576,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=533;direction=REQUEST,working/raw/perlakuan2.pcapng,533
2026-07-28T11:51:49.791706Z,48,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,576,16,1024,,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=534;direction=RESPONSE,working/raw/perlakuan2.pcapng,534
2026-07-28T11:51:50.511Z,49,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T115112Z-dc91fc98-COL-000039,39,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,39
2026-07-28T11:51:50.924181Z,50,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,54910,502,192.168.21.209:502<->192.168.21.210:54910,0,6,1024,1212,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=554;direction=REQUEST,working/raw/perlakuan2.pcapng,554
2026-07-28T11:51:50.924994Z,51,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,54910,502,192.168.21.209:502<->192.168.21.210:54910,0,6,1024,1212,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=555;direction=REQUEST,working/raw/perlakuan2.pcapng,555
2026-07-28T11:51:50.924994Z,52,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,54910,502,192.168.21.209:502<->192.168.21.210:54910,0,6,1024,1212,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=555;direction=REQUEST,working/raw/perlakuan2.pcapng,555
2026-07-28T11:51:50.924994Z,53,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,54910,502,192.168.21.209:502<->192.168.21.210:54910,0,6,1024,1212,,,,,SUCCESS,pcap=perlakuan2.pcapng;packet=555;direction=REQUEST,working/raw/perlakuan2.pcapng,555
