experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000001,1,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:12.465Z,2026-07-28T11:51:12.628Z,162.684,39.0,2026-07-28T11:51:12.589Z,2026-07-28T11:51:12.628Z,38.611,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,570,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,570,0,1,18,1,0]","[18,492,28,1,570,0,1,18,1,0]","[true,false,false]",2
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000002,2,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:13.466Z,2026-07-28T11:51:13.498Z,32.401,7.0,2026-07-28T11:51:13.491Z,2026-07-28T11:51:13.498Z,6.439,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,570,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,570,0,1,18,1,0]","[18,492,28,1,570,0,1,18,1,0]","[true,false,false]",3
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000003,3,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:14.466Z,2026-07-28T11:51:14.517Z,51.295,9.0,2026-07-28T11:51:14.508Z,2026-07-28T11:51:14.517Z,9.513,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,18,492,0.492,28,0.0028,1,570,0,1,18,1,0,TRUE,FALSE,FALSE,"[18,492,28,1,570,0,1,18,1,0]","[18,492,28,1,570,0,1,18,1,0]","[true,false,false]",4
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000004,4,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:15.467Z,2026-07-28T11:51:15.499Z,31.955,8.0,2026-07-28T11:51:15.490Z,2026-07-28T11:51:15.498Z,8.297,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",5
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000005,5,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:16.467Z,2026-07-28T11:51:17.027Z,559.507,526.0,2026-07-28T11:51:16.501Z,2026-07-28T11:51:17.027Z,525.303,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",6
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000006,6,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:17.468Z,2026-07-28T11:51:17.515Z,46.497,5.0,2026-07-28T11:51:17.509Z,2026-07-28T11:51:17.514Z,5.521,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",7
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000007,7,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:18.468Z,2026-07-28T11:51:18.500Z,31.274,7.0,2026-07-28T11:51:18.493Z,2026-07-28T11:51:18.499Z,6.869,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",8
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000008,8,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:19.468Z,2026-07-28T11:51:19.523Z,54.271,9.0,2026-07-28T11:51:19.514Z,2026-07-28T11:51:19.523Z,8.266,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",9
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000009,9,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:20.469Z,2026-07-28T11:51:20.507Z,38.302,5.0,2026-07-28T11:51:20.502Z,2026-07-28T11:51:20.507Z,5.047,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",10
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000010,10,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:21.470Z,2026-07-28T11:51:21.513Z,43.678,7.0,2026-07-28T11:51:21.506Z,2026-07-28T11:51:21.513Z,7.591,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,571,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,571,0,1,27,1,0]","[27,520,33,1,571,0,1,27,1,0]","[true,false,false]",11
