experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000001,1,2026-07-28T11:51:12.465Z,2026-07-28T11:51:12.628Z,162.684,39.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000002,2,2026-07-28T11:51:13.466Z,2026-07-28T11:51:13.498Z,32.401,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000003,3,2026-07-28T11:51:14.466Z,2026-07-28T11:51:14.517Z,51.295,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000004,4,2026-07-28T11:51:15.467Z,2026-07-28T11:51:15.499Z,31.955,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000005,5,2026-07-28T11:51:16.467Z,2026-07-28T11:51:17.027Z,559.507,526.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000006,6,2026-07-28T11:51:17.468Z,2026-07-28T11:51:17.515Z,46.497,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000007,7,2026-07-28T11:51:18.468Z,2026-07-28T11:51:18.500Z,31.274,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000008,8,2026-07-28T11:51:19.468Z,2026-07-28T11:51:19.523Z,54.271,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000009,9,2026-07-28T11:51:20.469Z,2026-07-28T11:51:20.507Z,38.302,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000010,10,2026-07-28T11:51:21.470Z,2026-07-28T11:51:21.513Z,43.678,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000011,11,2026-07-28T11:51:22.470Z,2026-07-28T11:51:22.514Z,44.377,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000012,12,2026-07-28T11:51:23.470Z,2026-07-28T11:51:23.500Z,29.835,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000013,13,2026-07-28T11:51:24.471Z,2026-07-28T11:51:24.515Z,43.526,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000014,14,2026-07-28T11:51:25.472Z,2026-07-28T11:51:25.518Z,46.509,12.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000015,15,2026-07-28T11:51:26.472Z,2026-07-28T11:51:26.514Z,41.928,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000016,16,2026-07-28T11:51:27.473Z,2026-07-28T11:51:27.511Z,38.515,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000017,17,2026-07-28T11:51:28.473Z,2026-07-28T11:51:28.515Z,41.63,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000018,18,2026-07-28T11:51:29.474Z,2026-07-28T11:51:29.528Z,54.589,14.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000019,19,2026-07-28T11:51:30.474Z,2026-07-28T11:51:30.518Z,44.483,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000020,20,2026-07-28T11:51:31.474Z,2026-07-28T11:51:31.514Z,39.953,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000021,21,2026-07-28T11:51:32.474Z,2026-07-28T11:51:32.519Z,44.454,14.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000022,22,2026-07-28T11:51:33.475Z,2026-07-28T11:51:33.521Z,46.747,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000023,23,2026-07-28T11:51:34.475Z,2026-07-28T11:51:34.519Z,43.95,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000024,24,2026-07-28T11:51:35.475Z,2026-07-28T11:51:35.512Z,36.646,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000025,25,2026-07-28T11:51:36.476Z,2026-07-28T11:51:36.522Z,46.7,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000026,26,2026-07-28T11:51:37.476Z,2026-07-28T11:51:37.507Z,31.532,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000027,27,2026-07-28T11:51:38.477Z,2026-07-28T11:51:38.525Z,48.376,8.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000028,28,2026-07-28T11:51:39.477Z,2026-07-28T11:51:39.511Z,33.672,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000029,29,2026-07-28T11:51:40.477Z,2026-07-28T11:51:40.510Z,33.212,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000030,30,2026-07-28T11:51:41.478Z,2026-07-28T11:51:41.505Z,27.815,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000031,31,2026-07-28T11:51:42.478Z,2026-07-28T11:51:42.519Z,41.401,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
