timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T13:07:06.981411Z,1,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,,,,192.168.21.217,192.168.21.209,40373,502,192.168.21.209:502<->192.168.21.217:40373,1017,16,1024,,,,,,SUCCESS,pcap=perlakuan3.pcapng;packet=60;direction=REQUEST,working/raw/perlakuan3.pcapng,60
2026-07-28T13:07:06.981837Z,2,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,,,,192.168.21.209,192.168.21.217,502,40373,192.168.21.209:502<->192.168.21.217:40373,1017,16,1024,,,,,,SUCCESS,pcap=perlakuan3.pcapng;packet=61;direction=RESPONSE,working/raw/perlakuan3.pcapng,61
2026-07-28T13:07:13.998016Z,3,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,,,,192.168.21.217,192.168.21.209,40373,502,192.168.21.209:502<->192.168.21.217:40373,1018,16,1024,,,,,,SUCCESS,pcap=perlakuan3.pcapng;packet=173;direction=REQUEST,working/raw/perlakuan3.pcapng,173
2026-07-28T13:07:13.998630Z,4,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,,,,192.168.21.209,192.168.21.217,502,40373,192.168.21.209:502<->192.168.21.217:40373,1018,16,1024,,,,,,SUCCESS,pcap=perlakuan3.pcapng;packet=174;direction=RESPONSE,working/raw/perlakuan3.pcapng,174
2026-07-28T13:07:14.401Z,5,PHASE_LOG,EXPERIMENT_PHASE_CHANGED,PRE_ATTACK,,,,,,,,,,,,,,,,,P3 pre-attack observation,working/metadata/experiment_event_log.csv,2
2026-07-28T13:07:14.593Z,6,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T130713Z-41eacbc5-COL-000001,1,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,1
2026-07-28T13:07:15.368Z,7,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T130713Z-41eacbc5-COL-000002,2,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,2
2026-07-28T13:07:16.379Z,8,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T130713Z-41eacbc5-COL-000003,3,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,3
2026-07-28T13:07:17.358Z,9,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T130713Z-41eacbc5-COL-000004,4,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,4
2026-07-28T13:07:18.378Z,10,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,PRE_ATTACK,collector-20260728T130713Z-41eacbc5-COL-000005,5,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,5
