pcap_file,packet_number,adu_index,timestamp_utc,timestamp_epoch,interface_id,interface_name,interface_description,link_type,source_ip,destination_ip,source_port,destination_port,tcp_sequence,tcp_acknowledgment,tcp_flags,tcp_stream_key,direction,transaction_id,protocol_id,mbap_length,unit_id,function_code,function_name,is_exception,exception_code,register_address,quantity,register_value,register_values,coil_value,byte_count,pdu_hex,parse_status,parse_note
perlakuan3.pcapng,60,0,2026-07-28T13:07:06.981411Z,1785244026.9814112,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.217,192.168.21.209,40373,502,3296003752,599441694,ACK|PSH,192.168.21.209:502<->192.168.21.217:40373,REQUEST,1017,0,21,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,"[18,492,28,1,1194,0,1]",,14,10040000070e001201ec001c000104aa00000001,SUCCESS,
perlakuan3.pcapng,61,0,2026-07-28T13:07:06.981837Z,1785244026.9818368,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.217,502,40373,599441694,3296003779,ACK|PSH,192.168.21.209:502<->192.168.21.217:40373,RESPONSE,1017,0,6,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,,,,1004000007,SUCCESS,
perlakuan3.pcapng,173,0,2026-07-28T13:07:13.998016Z,1785244033.998016,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.217,192.168.21.209,40373,502,3296003779,599441706,ACK|PSH,192.168.21.209:502<->192.168.21.217:40373,REQUEST,1018,0,21,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,"[27,520,33,1,1195,0,1]",,14,10040000070e001b02080021000104ab00000001,SUCCESS,
perlakuan3.pcapng,174,0,2026-07-28T13:07:13.998630Z,1785244033.9986303,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.217,502,40373,599441706,3296003806,ACK|PSH,192.168.21.209:502<->192.168.21.217:40373,RESPONSE,1018,0,6,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,,,,1004000007,SUCCESS,
perlakuan3.pcapng,182,0,2026-07-28T13:07:14.165798Z,1785244034.1657984,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758296,1427791176,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,1,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,183,0,2026-07-28T13:07:14.166093Z,1785244034.1660929,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791176,2862758308,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,1,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,184,0,2026-07-28T13:07:14.171066Z,1785244034.1710663,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758308,1427791205,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,2,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,185,0,2026-07-28T13:07:14.171321Z,1785244034.1713207,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791205,2862758320,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,2,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,195,0,2026-07-28T13:07:14.941909Z,1785244034.9419088,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758320,1427791215,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,3,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,196,0,2026-07-28T13:07:14.942439Z,1785244034.9424386,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791215,2862758332,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,3,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,197,0,2026-07-28T13:07:14.946000Z,1785244034.9459996,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758332,1427791244,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,4,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,198,0,2026-07-28T13:07:14.946573Z,1785244034.9465733,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791244,2862758344,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,4,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,211,0,2026-07-28T13:07:15.950374Z,1785244035.9503744,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758344,1427791254,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,5,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,212,0,2026-07-28T13:07:15.950974Z,1785244035.9509735,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791254,2862758356,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,5,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,213,0,2026-07-28T13:07:15.956813Z,1785244035.9568129,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758356,1427791283,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,6,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,214,0,2026-07-28T13:07:15.957375Z,1785244035.9573748,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791283,2862758368,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,6,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,229,0,2026-07-28T13:07:16.931693Z,1785244036.9316928,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758368,1427791293,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,7,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,230,0,2026-07-28T13:07:16.932082Z,1785244036.9320822,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791293,2862758380,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,7,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,231,0,2026-07-28T13:07:16.936358Z,1785244036.9363582,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758380,1427791322,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,8,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,232,0,2026-07-28T13:07:16.936771Z,1785244036.9367712,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791322,2862758392,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,8,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,250,0,2026-07-28T13:07:17.950671Z,1785244037.9506707,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758392,1427791332,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,9,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,251,0,2026-07-28T13:07:17.951163Z,1785244037.9511626,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791332,2862758404,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,9,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,252,0,2026-07-28T13:07:17.956550Z,1785244037.9565504,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758404,1427791361,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,10,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,253,0,2026-07-28T13:07:17.957041Z,1785244037.9570405,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791361,2862758416,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,10,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,267,0,2026-07-28T13:07:18.929224Z,1785244038.9292238,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758416,1427791371,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,11,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,268,0,2026-07-28T13:07:18.929734Z,1785244038.929734,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791371,2862758428,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,11,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,269,0,2026-07-28T13:07:18.933314Z,1785244038.9333136,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758428,1427791400,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,12,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,270,0,2026-07-28T13:07:18.933816Z,1785244038.9338164,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791400,2862758440,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,12,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,297,0,2026-07-28T13:07:19.944781Z,1785244039.944781,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758440,1427791410,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,13,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,298,0,2026-07-28T13:07:19.945198Z,1785244039.9451976,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791410,2862758452,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,13,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,299,0,2026-07-28T13:07:19.958593Z,1785244039.958593,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758452,1427791439,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,14,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,300,0,2026-07-28T13:07:19.959027Z,1785244039.9590273,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791439,2862758464,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,14,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,313,0,2026-07-28T13:07:20.932385Z,1785244040.9323852,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758464,1427791449,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,15,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan3.pcapng,314,0,2026-07-28T13:07:20.932586Z,1785244040.9325864,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791449,2862758476,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,15,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[27,520,33,1,1195,0,1,27,1,0]",,20,0314001b02080021000104ab00000001001b00010000,SUCCESS,
perlakuan3.pcapng,315,0,2026-07-28T13:07:20.938729Z,1785244040.9387286,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,58494,502,2862758476,1427791478,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,REQUEST,16,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan3.pcapng,316,0,2026-07-28T13:07:20.938912Z,1785244040.938912,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,58494,1427791478,2862758488,ACK|PSH,192.168.21.209:502<->192.168.21.210:58494,RESPONSE,16,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan3.pcapng,320,0,2026-07-28T13:07:21.029223Z,1785244041.0292232,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.217,192.168.21.209,40373,502,3296003806,599441718,ACK|PSH,192.168.21.209:502<->192.168.21.217:40373,REQUEST,1019,0,21,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,"[39,375,38,1,1196,0,1]",,14,10040000070e002701770026000104ac00000001,SUCCESS,
