experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000001,1,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:14.317Z,2026-07-28T13:07:14.593Z,276.068,43.0,2026-07-28T13:07:14.549Z,2026-07-28T13:07:14.592Z,43.539,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",2
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000002,2,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:15.317Z,2026-07-28T13:07:15.368Z,51.379,9.0,2026-07-28T13:07:15.359Z,2026-07-28T13:07:15.368Z,8.688,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",3
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000003,3,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:16.317Z,2026-07-28T13:07:16.379Z,61.86,12.0,2026-07-28T13:07:16.368Z,2026-07-28T13:07:16.379Z,11.219,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",4
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000004,4,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:17.318Z,2026-07-28T13:07:17.358Z,40.171,9.0,2026-07-28T13:07:17.350Z,2026-07-28T13:07:17.358Z,8.119,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",5
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000005,5,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:18.318Z,2026-07-28T13:07:18.378Z,60.349,10.0,2026-07-28T13:07:18.368Z,2026-07-28T13:07:18.378Z,9.859,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",6
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000006,6,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:19.318Z,2026-07-28T13:07:19.355Z,37.08,11.0,2026-07-28T13:07:19.344Z,2026-07-28T13:07:19.355Z,10.831,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",7
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000007,7,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:20.318Z,2026-07-28T13:07:20.380Z,61.842,20.0,2026-07-28T13:07:20.360Z,2026-07-28T13:07:20.380Z,20.368,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",8
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000008,8,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:21.319Z,2026-07-28T13:07:21.361Z,42.336,11.0,2026-07-28T13:07:21.351Z,2026-07-28T13:07:21.361Z,10.251,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,27,520,0.52,33,0.0033,1,1195,0,1,27,1,0,TRUE,FALSE,FALSE,"[27,520,33,1,1195,0,1,27,1,0]","[27,520,33,1,1195,0,1,27,1,0]","[true,false,false]",9
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000009,9,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:22.319Z,2026-07-28T13:07:22.384Z,64.404,12.0,2026-07-28T13:07:22.372Z,2026-07-28T13:07:22.383Z,11.842,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",10
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000010,10,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:23.319Z,2026-07-28T13:07:23.383Z,63.714,7.0,2026-07-28T13:07:23.376Z,2026-07-28T13:07:23.383Z,6.731,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",11
