experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000001,1,2026-07-28T13:07:14.317Z,2026-07-28T13:07:14.593Z,276.068,43.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000002,2,2026-07-28T13:07:15.317Z,2026-07-28T13:07:15.368Z,51.379,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000003,3,2026-07-28T13:07:16.317Z,2026-07-28T13:07:16.379Z,61.86,12.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000004,4,2026-07-28T13:07:17.318Z,2026-07-28T13:07:17.358Z,40.171,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000005,5,2026-07-28T13:07:18.318Z,2026-07-28T13:07:18.378Z,60.349,10.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000006,6,2026-07-28T13:07:19.318Z,2026-07-28T13:07:19.355Z,37.08,11.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000007,7,2026-07-28T13:07:20.318Z,2026-07-28T13:07:20.380Z,61.842,20.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000008,8,2026-07-28T13:07:21.319Z,2026-07-28T13:07:21.361Z,42.336,11.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000009,9,2026-07-28T13:07:22.319Z,2026-07-28T13:07:22.384Z,64.404,12.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000010,10,2026-07-28T13:07:23.319Z,2026-07-28T13:07:23.383Z,63.714,7.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
